Child,Parent
worth,price
wheels,styling
wheel,styling
weight,design
weather,reliability
warranty,maintenance
warranties,maintenance
understeer,understeer
underpowered,performance
ugly,aesthetics
turn,turn
turbo,performance
trunk,trunk
transmissions,performance
transmission,performance
traction,tires
torque,power
tires,safety
tire,safety
throttle,performance
thigh,comfort
tank,fuel
tall,comfort
suspension,suspension
sunroof,aesthetics
style,aesthetics
strong,reliability
street,comfort
stereo,console
steering,console
steer,console
sporty,performance
sports,performance
sport,performance
spin,spin
spent,price
spending,price
spend,price
speeds,performance
speed,performance
sound,sound
solid,reliability
smooth,performance
slow,performance
skidpad,safety
service,maintenance
secs,performance
seconds,performance
seats,comfort
seat,comfort
safety,reliability
safer,reliability
safe,reliability
safe,safety
rwd,performance
rpm,performance
room,comfort
risk,reliability
rims,styling
responsive,performance
replacement,maintenance
replace,maintenance
repair,maintenance
reliable,reliability
reliability,reliability
rear,rear
radio,console
radial,safety
racing,racing
race,race
quality,reliability
prices,price
priced,price
price,price
pretty,aesthetics
powerful,performance
power,performance
player,console
pick-up,performance
paint,aesthetics
oversteer,oversteer
overpriced,price
offer,price
noise,noise
navigation,console
nav,console
music,console
mph,performance
mpg,efficiency
mp3,console
motor,performance
monitor,console
money,price
mileage,efficiency
middle,middle
manual,performance
luxury,luxury
luxurious,luxury
lumbar,comfort
looks,aesthetics
look,aesthetics
loaded,performance
lights,design
leather,comfort
interiors,comfort
interior,comfort
insurance,reliability
infotainment,console
indicator,design
impact,reliability
horsepower,performance
hood,hood
headlights,aesthetics
headlight,aesthetics
handling,performance
handles,aesthetics
handle,aesthetics
gps,console
goodyear,safety
gears,transmission
gear,transmission
gas,efficiency
gas,lights
fwd,performance
fuel,efficiency
fuel,indicator
front,front
faster,performance
fast,performance
exteriors,aesthetics
exterior,aesthetics
experience,comfort
expensive,price
exhaust,exhaust
ergonomics,comfort
entertainment,console
engines,performance
engineering,performance
engine,performance
efficient,efficiency
efficiency,efficiency
economy,efficiency
dynamics,dynamics
dust,aesthetics
drivetrain,performance
doors,aesthetics
door,aesthetics
dollars,price
displacement,transmission
designs,aesthetics
design,aesthetics
dashboard,console
dash,console
cylinders,performance
cylinder,performance
cvt,performance
cruise,performance
costs,price
cost,price
convertible,convertible
control,control
comfortable,comfort
comfort,comfort
color,aesthetics
clutch,transmission
chrome,aesthetics
cheaper,price
cheap,price
chassis,chassis
cds,console
cd,console
cargo,comfort
bumper,aesthetics
build,build
budget,price
bucks,price
broken,broken
bridgestone,safety
braking,safety
brakes,safety
brake,safety
boost,performance
body,aesthetics
bluetooth,console
black,aesthetics
beautiful,aesthetics
awd,performance
automatic,performance
audio,console
alloys,styling
airbags,safety
airbag,safety
afford,price
aero,aero
accident,safety
accelerator,performance
acceleration,performance
accelerate,performance
ability,performance
